node_labels,node_count
GraphCvTerm|GraphDatabaseObject,5002
GraphXref|GraphDatabaseObject,2467059
GraphAnnotation|GraphDatabaseObject,136588
GraphAlias|GraphDatabaseObject,233686
GraphDatabaseObject|GraphCurationDepth,4
GraphCvTerm|GraphSource|GraphDatabaseObject,16
GraphPublication|GraphDatabaseObject,27985
GraphOrganism|GraphDatabaseObject,2640
GraphExperiment|GraphDatabaseObject,166202
GraphChecksum|GraphDatabaseObject,38924
GraphInteractor|GraphMolecule|GraphPolymer|GraphProtein|GraphDatabaseObject,50588
GraphStoichiometry|GraphDatabaseObject,70
GraphPosition|GraphDatabaseObject,705543
GraphResultingSequence|GraphDatabaseObject,565883
GraphRange|GraphDatabaseObject,564759
GraphFeatureEvidence|GraphFeature|GraphDatabaseObject,558077
GraphDatabaseObject|GraphEntity,39515
GraphExperimentalEntity|GraphParticipantEvidence|GraphDatabaseObject|GraphEntity,1317791
GraphInteractionEvidence|GraphDatabaseObject,513137
GraphBinaryInteractionEvidence|GraphDatabaseObject,845890
GraphInteractor|GraphNucleicAcid|GraphMolecule|GraphPolymer|GraphDatabaseObject,1730
GraphParameterValue|ParameterValue|Number,24212
GraphParameter|GraphDatabaseObject,27526
GraphInteractor|GraphMolecule|GraphDatabaseObject|GraphGene,665
GraphInteractor|GraphMolecule|GraphDatabaseObject,1724
GraphInteractor|GraphDatabaseObject|GraphComplex,1627
GraphModelledFeature|GraphDatabaseObject,8461
GraphDatabaseObject|GraphModelledRange,9401
GraphModelledEntity|GraphModelledParticipant|GraphDatabaseObject,6733
GraphConfidence|GraphDatabaseObject,222748
GraphVariableParameter|GraphDatabaseObject,115
GraphVariableParameterValue|GraphDatabaseObject,183
GraphVariableParameterValueSet|DefaultVariableParameterValueSet,141
GraphFeature|GraphDatabaseObject,64
GraphInteractor|GraphDatabaseObject,1514
GraphInteractor|GraphMolecule|GraphPolymer|GraphDatabaseObject,1
GraphClusteredInteraction|GraphDatabaseObject,408023
GraphParameter|GraphModelledParameter|GraphDatabaseObject,2
